"43","Salix alba","Analgésicos, anti-inflamatórios","Casca","Antitérmico, anti-inflamatório e analgésico. Uso oral."
"44","Senna alexandrina","Laxantes irritantes ou estimulantes","Folhas e frutos","Constipação ocasional. Uso oral."
"45","Serenoa repens","Produtos com ação no trato urinário","Frutos","Alívio dos sintomas do trato urinário baixo relacionados a hiperplasia prostática benigna depois que condições mais sérias tenham sido excluídas por um médico. Uso oral."
"46","Silybum marianum","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Frutos sem papilho","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"47","Solidago microglossa","Analgésicos, anti-inflamatórios","Partes aéreas","Anti-inflamatório nos casos de contusões, dores musculares e hematomas (uso tópico). Anti-inflamatório (uso oral)."
"48","Symphytum officinale","Analgésicos, anti-inflamatórios","Raiz","Alívio sintomático de entorses leves e contusões. Uso tópico."
"49","Trichilia catigua + Croton heliotropiifolius + Paullinia cupana","Neurotônico","Cascas do caule + caules + sementes","Para cansaço físico e mental. Uso oral."
"50","Uncaria tomentosa","Analgésicos, anti-inflamatórios","Casca do caule e raiz","Anti-inflamatório. Uso oral."
"51","Vitis vinífera","Produtos com ação sobre o aparelho cardiovascular","Folhas","Alívio dos sintomas relacionados a inchaços nas pernas, veias varicosas, sensação de peso, dor, cansaço, coceira, tensão nas pernas e câimbras na panturrilha. Uso oral."
"52","Zingiber officinale","Antieméticos e antinauseantes","Rizomas","Profilaxia de náuseas causadas por movimento (cinetose) e pós-cirúrgicas. Uso oral."
